id1,id2,Symbol,vq_star,number_of_causal,total,OMIM
1,D000544,A1BG,0.0,0,4,0
2,D000544,A2M,0.9791420980558726,45,136,0
232345,D000544,A2m,0.0,0,6,0
53947,D000544,A4GALT,1.0,1,1,0
51166,D000544,AADAT,1.0,1,1,0
15,D000544,AANAT,0.0,0,1,0
26574,D000544,AATF,0.0,0,1,0
18,D000544,ABAT,0.0,0,4,0
19,D000544,ABCA1,0.9611162517579944,5,25,0
26154,D000544,ABCA12,0.0,0,1,0
20,D000544,ABCA2,0.9516720165165898,1,5,0
21,D000544,ABCA3,0.0,0,1,0
24,D000544,ABCA4,0.0,0,1,0
10347,D000544,ABCA7,0.0,0,1,1
5243,D000544,ABCB1,0.8680164449673232,1,14,0
340273,D000544,ABCB5,0.0,0,1,0
10058,D000544,ABCB6,0.0,0,2,0
4363,D000544,ABCC1,0.0,0,2,0
8714,D000544,ABCC3,0.0,0,2,0
9619,D000544,ABCG1,0.0,0,4,0
9429,D000544,ABCG2,0.0,0,1,0
64137,D000544,ABCG4,0.0,0,1,0
64240,D000544,ABCG5,0.0,0,1,0
10006,D000544,ABI1,0.0,0,1,0
25,D000544,ABL1,0.0,0,3,0
27,D000544,ABL2,0.0,0,1,0
28,D000544,ABO,0.0,0,1,0
27034,D000544,ACAD8,0.0,0,1,0
38,D000544,ACAT1,0.9343395637825838,1,8,0
39,D000544,ACAT2,0.0,0,2,0
1636,D000544,ACE,0.983672688876954,29,75,0
59272,D000544,ACE2,0.0,0,1,0
43,D000544,ACHE,0.9229767465785635,78,734,0
2532,D000544,ACKR1,0.0,0,2,0
47,D000544,ACLY,0.0,0,1,0
48,D000544,ACO1,0.0,0,2,0
730249,D000544,ACOD1,0.0,0,1,0
55,D000544,ACP3,0.0,0,1,0
6296,D000544,ACSM3,0.0,0,1,0
396526,D000544,ACTB,0.0,0,5,0
87,D000544,ACTN1,0.0,0,5,0
100188795;353128,D000544,AD11,0.0,0,1,0
353128,D000544,AD8,0.994441903767258,1,2,0
100,D000544,ADA,0.0,0,1,0
102,D000544,ADAM10,0.9836204845337742,12,33,1
8038,D000544,ADAM12,0.9680469849122364,1,3,0
8751,D000544,ADAM15,1.0,1,1,0
6868,D000544,ADAM17,0.0,0,15,0
8728,D000544,ADAM19,0.0,0,1,0
8759;2515,D000544,ADAM1A,1.0,1,1,0
53616,D000544,ADAM22,0.0,0,1,0
8754,D000544,ADAM9,0.0,0,5,0
9510,D000544,ADAMTS1,1.0,1,1,0
11096,D000544,ADAMTS5,1.0,1,1,0
11033,D000544,ADAP1,1.0,2,2,0
107,D000544,ADCY1,0.0,0,2,0
114,D000544,ADCY8,0.0,0,1,0
116,D000544,ADCYAP1,0.0,0,3,0
120,D000544,ADD3,0.0,0,3,0
55256,D000544,ADI1,0.9660107830213356,1,3,0
133,D000544,ADM,0.0,0,1,0
23394,D000544,ADNP,0.0,0,2,0
134,D000544,ADORA1,0.0,0,1,0
135,D000544,ADORA2A,0.971217632605576,1,3,0
148,D000544,ADRA1A,0.0,0,1,0
150,D000544,ADRA2A,0.0,0,2,0
151,D000544,ADRA2B,0.0,0,2,0
152,D000544,ADRA2C,0.0,0,2,0
153,D000544,ADRB1,0.9810426545020792,2,5,0
154,D000544,ADRB2,0.9563391610583992,1,6,0
100188784,D000544,AFA1,1.0,1,1,0
174,D000544,AFP,0.0,0,1,0
177,D000544,AGER,0.9830332674557554,12,33,0
3267,D000544,AGFG1,0.0,0,2,0
392636,D000544,AGMO,0.0,0,1,0
10554,D000544,AGPAT1,0.0,0,1,0
8540,D000544,AGPS,0.0,0,3,0
375790,D000544,AGRN,0.9497190870700368,1,11,0
183,D000544,AGT,0.980691850122454,5,15,0
196,D000544,AHR,0.0,0,1,0
197,D000544,AHSG,0.9912693427445765,1,2,0
57379,D000544,AICDA,0.9939148260087204,2,4,0
9131,D000544,AIFM1,0.0,0,3,0
11216,D000544,AKAP10,0.0,0,1,0
9590,D000544,AKAP12,0.0,0,1,0
8852,D000544,AKAP4,1.0,1,1,0
10327,D000544,AKR1A1,0.964818819695844,1,4,0
231,D000544,AKR1B1,0.0,0,1,0
1646,D000544,AKR1C2,0.0,0,1,0
1109,D000544,AKR1C4,0.0,0,1,0
8574,D000544,AKR7A2,0.0,0,1,0
207,D000544,AKT1,0.9219151402814398,7,64,0
213,D000544,ALB,0.8948429127397124,6,85,0
5832,D000544,ALDH18A1,1.0,1,1,0
217,D000544,ALDH2,0.9871080905818552,2,5,0
501,D000544,ALDH7A1,0.0,0,3,0
480622,D000544,ALDOC,0.0,0,1,0
85365,D000544,ALG2,0.0,0,1,0
10195,D000544,ALG3,0.9893491856260964,2,4,0
8846,D000544,ALKBH1,1.0,1,1,0
246,D000544,ALOX15,0.9537245771181092,1,5,0
240,D000544,ALOX5,0.9609782675935936,2,9,0
241,D000544,ALOX5AP,0.9868888532517396,1,2,0
248,D000544,ALPI,0.0,0,1,0
250,D000544,ALPP,0.0,0,1,0
57679,D000544,ALS2,0.0,0,1,0
259,D000544,AMBP,0.0,0,5,0
262,D000544,AMD1,0.0,0,1,0
265,D000544,AMELX,0.0,0,1,0
283,D000544,ANG,0.0,0,1,0
284,D000544,ANGPT1,0.0,0,1,0
56899,D000544,ANKS1B,0.0,0,1,0
8125,D000544,ANP32A,0.0,0,1,0
10541,D000544,ANP32B,0.0,0,1,0
290,D000544,ANPEP,0.0,0,6,0
301,D000544,ANXA1,0.0,0,2,0
302,D000544,ANXA2,0.0,0,2,0
308,D000544,ANXA5,0.0,0,6,0
26,D000544,AOC1,0.9604518033810746,5,26,0
314,D000544,AOC2,0.9931578806918228,3,5,0
8639,D000544,AOC3,0.0,0,1,0
84909,D000544,AOPEP,0.9723940928720648,3,14,0
163,D000544,AP2B1,0.9851376958709184,10,25,0
317,D000544,APAF1,0.0,0,4,0
320,D000544,APBA1,0.0,0,18,0
321,D000544,APBA2,0.9076868295255456,1,10,0
9546,D000544,APBA3,0.0,0,4,0
322,D000544,APBB1,0.9242334486248768,6,50,0
323,D000544,APBB2,0.9912989311641623,1,2,0
10307,D000544,APBB3,0.9577455647573676,1,6,0
324,D000544,APC,0.95145332170772,1,6,0
325,D000544,APCS,0.9432861584772256,4,23,0
327,D000544,APEH,0.0,0,1,0
328,D000544,APEX1,0.9885969181658428,1,2,0
51107,D000544,APH1A,0.9254013179305968,6,49,0
83464,D000544,APH1B,0.9333151072668064,1,7,0
333,D000544,APLP1,0.9856698457787544,9,26,0
334,D000544,APLP2,0.9696647446075604,9,40,0
335,D000544,APOA1,0.91584264352265,5,47,0
336,D000544,APOA2,0.9460695412523762,2,13,0
337,D000544,APOA4,0.0,0,7,0
338,D000544,APOB,0.909086631063072,2,26,0
341,D000544,APOC1,0.97111247592307,5,22,0
344,D000544,APOC2,0.9621485404954816,2,10,0
345,D000544,APOC3,0.0,0,5,0
347,D000544,APOD,0.9774679275320064,4,13,0
348,D000544,APOE,0.9635101920922142,541,2629,1
319,D000544,APOF,1.0,1,1,0
55937,D000544,APOM,1.0,1,1,0
351,D000544,APP,0.9792766652412052,1642,5234,1
10513,D000544,APPBP2,0.0,0,3,0
26060,D000544,APPL1,0.0,0,2,0
358,D000544,AQP1,1.0,1,1,0
361,D000544,AQP4,1.0,1,1,0
367,D000544,AR,0.9081639370258184,1,11,0
23237,D000544,ARC,0.991969891076906,2,4,0
856404,D000544,ARD1,0.0,0,1,0
374,D000544,AREG,0.0,0,1,0
55738,D000544,ARFGAP1,0.0,0,1,0
84364,D000544,ARFGAP2,1.0,1,1,0
396,D000544,ARHGDIA,0.0,0,1,0
9181,D000544,ARHGEF2,0.0,0,1,0
7984,D000544,ARHGEF5,0.0,0,1,0
407,D000544,ARR3,0.0,0,1,0
410,D000544,ARSA,1.0,1,1,0
411,D000544,ARSB,0.0,0,2,0
427,D000544,ASAH1,0.0,0,1,0
56624,D000544,ASAH2,1.0,1,1,0
653308,D000544,ASAH2B,0.0,0,1,0
432,D000544,ASGR1,0.0,0,1,0
259266,D000544,ASPM,0.0,0,1,0
445,D000544,ASS1,0.9548309949368892,1,6,0
1386,D000544,ATF2,0.0,0,4,0
468,D000544,ATF4,0.0,0,1,0
22926,D000544,ATF6,0.9919116996864624,2,4,0
11016,D000544,ATF7,0.0,0,1,0
9474,D000544,ATG5,0.0,0,1,0
472,D000544,ATM,0.0,0,3,0
23400,D000544,ATP13A2,1.0,1,1,0
478,D000544,ATP1A3,0.0,0,1,0
481,D000544,ATP1B1,0.0,0,4,0
489,D000544,ATP2A3,0.0,0,1,0
491,D000544,ATP2B2,0.0,0,1,0
514,D000544,ATP5F1E,0.9878351337079444,1,2,0
93974,D000544,ATP5IF1,0.0,0,1,0
4508,D000544,ATP6,0.0,0,2,0
23545,D000544,ATP6V0A2,0.0,0,1,0
538,D000544,ATP7A,0.0,0,1,0
540,D000544,ATP7B,0.0,0,1,0
4509,D000544,ATP8,0.0,0,1,0
10396,D000544,ATP8A1,0.0,0,2,0
51761,D000544,ATP8A2,0.0,0,1,0
6310,D000544,ATXN1,0.0,0,2,0
